FSCS Key,Library Name,ADDRESS,CITY,ZIP,Locale ,Service Area Population,Books and Other Print Material,E-Books,  Audio - Physical,Video - Physical
TX0383,CHARLOTTE PUBLIC LIBRARY,8 COUSER BLVD,CHARLOTTE,78011,Rural,"3,646","14,960","30,829",68,342
TX0384,DRIPPING SPRINGS COMMUNITY LIBRARY,501 SPORTSPLEX DR,DRIPPING SPRINGS,78620,Rural,"54,805","45,191","11,990","1,867","2,690"
TX0385,BRIDGEPORT PUBLIC LIBRARY,2159 10TH ST,BRIDGEPORT,76426,Town,"26,537","36,548","18,075","1,449","1,061"
TX0386,FOARD COUNTY LIBRARY,110 E CALIFORNIA,CROWELL,79227,Rural,"1,057","14,222",0,85,"1,375"
TX0387,AUBREY AREA LIBRARY,226 COUNTRYSIDE DR,AUBREY,76227,Town,"24,536","19,595","20,781",194,"1,651"
TX0388,WEST PUBLIC LIBRARY,209 TOKIO RD,WEST,76691,Town,"3,990","29,148",0,108,310
TX0389,KRUM PUBLIC LIBRARY,815 E MCCART ST,KRUM,76249,Town,"8,338","13,332","25,237",307,"2,192"
TX0391,MAMMEN FAMILY PUBLIC LIBRARY,131 BULVERDE CROSSING RD,BULVERDE,78163,Rural,"40,366","50,280","200,828","4,305","9,146"
TX0392,COLDSPRING AREA PUBLIC LIBRARY INC,14221 HWY 150 W,COLDSPRING,77331,Rural,854,"14,268","21,150",669,"1,021"
TX0393,KENDRICK MEMORIAL LIBRARY,301 W TATE ST,BROWNFIELD,79316,Town,"11,567","39,288","18,628","1,232","1,132"
TX0394,WHITEHOUSE COMMUNITY LIBRARY,107 BASCOM RD,WHITEHOUSE,75791,Suburban,"9,154","27,636","47,343",450,"2,305"
TX0395,FLOWER MOUND PUBLIC LIBRARY,3030 BROADMOOR LN,FLOWER MOUND,75022,Suburban,"107,708","78,885","200,394","2,054","5,938"
TX0396,GOLIAD COUNTY LIBRARY,320 S COMMERCIAL ST,GOLIAD,77963,Rural,"7,131","21,907","25,508",113,"1,452"
TX0397,FOREST HILL PUBLIC LIBRARY,6962 FOREST HILL DR,FOREST HILL,76140,Suburban,"19,699","19,864","12,000",115,"3,842"
TX0400,SALADO PUBLIC LIBRARY DISTRICT,1151 N MAIN ST,SALADO,76571,Rural,"9,960","21,337","45,553",949,"3,536"
TX0401,LAKE WHITNEY LIBRARY,602 E JEFFERSON AVE,WHITNEY,76692,Rural,"2,063","21,500","15,557",325,511
TX0402,BROWNSVILLE PUBLIC LIBRARY,2600 CENTRAL BLVD,BROWNSVILLE,78520,City,"258,340","235,084","38,047","2,813","31,511"
TX0403,CITY OF WOLFFORTH LIBRARY,508 E HWY 62/82,WOLFFORTH,79382,Suburban,"7,402","19,209","33,586",182,"1,071"
TX0405,GUTHRIE CSD & KING COUNTY CONSOLIDATED LIBRARY,301 JAGUAR LN,GUTHRIE,79236,Rural,233,"23,070","15,037",472,"2,444"
TX0406,ALICIA SALINAS PUBLIC LIBRARY,401 E 3RD ST,ALICE,78332,Town,"24,120","46,082","29,329",883,"1,484"
TX0407,BROWNWOOD COMMUNITY LIBRARY,600 CARNEGIE ST,BROWNWOOD,76801,Town,"38,373","49,844","186,873","1,336","3,128"
TX0408,BRYAN+COLLEGE STATION PUBLIC LIBRARY SYSTEM,201 E 26TH ST,BRYAN,77803,City,"212,111","180,210","16,554","5,982","10,037"
TX0409,BUFFALO PUBLIC LIBRARY,1005 HILL ST,BUFFALO,75831,Rural,"1,767","29,325",0,168,316
TX0410,BURKBURNETT LIBRARY,215 E 4TH ST,BURKBURNETT,76354,Town,"11,102","21,094","53,962","1,394","1,892"
TX0411,BURLESON PUBLIC LIBRARY,248 SW JOHNSON AVE,BURLESON,76028,Suburban,"53,381","44,097","30,691","2,094","2,702"
TX0412,BURNET COUNTY LIBRARY SYSTEM,170 S GABRIEL ST,BERTRAM,78611,Rural,"52,502","91,456","861,015","7,453","10,653"
TX0413,HARRIE P WOODSON MEMORIAL LIBRARY,704 W HWY 21,CALDWELL,77836,Town,"4,350","20,587","36,921",236,"2,114"
